Name of institution,Type of institution,Level,Country,State/Province,City,Website,Area of study,Programme,
"University of Technology, Sydney",Public ,,Australia,New South Wales,Sydney,uts.edu.au,"Architecture and Construction,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Environment,","Architecture,Accounting,Finance,Management,Marketing,MBA programes,Business analysis and information systems,Computer science,IT management and leadership,Networking and security,Software development and programming,Web and cloud computing,Games, graphics and multimedia,Music and sound design,Design,Design innovation,Systems design and analysis,Biomedical engineering,Civil and environmental engineering,Computer systems and software electrical engineering,Engineering management,Mechanical and mechatronic engineering,Systems and operations,Telecommunications,Sport and exercise,Nursing,Midwifery,Public health,Health science,Health services management,Health policy,Physiotherapy,Orthotics,Clinical psychology,Pharmacy,Pharmaneutical science,Public communication,Writing,Languages,Global studies,International studies,Legal studies,Sports media,Digital and social media,Digital information management,Journalism,Media arts and production,Social and political science,Economics,Built environment,Life studies",
University of Western Sydney,Public ,,Australia,New South Wales,Sydney,,,,
University of Wollongong,Public ,,Australia,New South Wales,Wollongong,uow.edu.au,,,
Charles Darwin University,Public ,,Australia,Northern Territory,Darwin,,"Agriculture and Veterinary Medicine,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,Environment,","residental drafting,accounting,commerce,business administration,Retail banking,Business information systems,IT,Information and communication technology,Arts,visual arts,new media design,design,Engineering,Engineering science,Network engineering,Software engineering,Exercise and sport science,Alcohol and other drugs,Psychology,Psychological science,Pharmacy,Health science,Midwifery,Medical laboratory science,Nursing,Public health,Indigenous languages and linguistics,Indigenous knowledges,Aboriginal and Torres strait islander knowledges,Philosophy,laws,Legal studies,Communication,Applied social science,Humanitarian and community studies,Social work,Hospitality,Commercial cookery,Enviromental management,Emergency and disaster management,Conservation and land management",
Griffith University,Public ,,Australia,Queensland,Brisbane,,"Architecture and Construction,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,Environment,","Architecture,Urban and enviromental planning,Accounting and business law,Business,Financial planning,Logistics and applied chain managemen,Management,Commerce,Entrepreneurship,Fnance,Human resources and employment relations,International business,Marketing,Propery and real estate,Sustainable busisiness,Information system,IT,Business information systems,Computer science,Arts,Industrial design,3D and product design,Animation,Fine art,Graphic and communication design,Design,Games design,Interior design and enviroment,Enviromental engineering,Civil engineering,Mechanical engineerin,Software engineering,Engineering,Electrical and electronic engineering,Sport managemetn,Exercise science,Sport development,Personal injury management,Psychological science,Pharmacology and toxicology ,Biomedical science,Health science,Medical laboratory science,Medical science,Medicine,Health research ,Medical research,Musculoskeletal and sports physiotherapy,Physiotherapy,Rehabilitation counselling,Midwifery,Paramedicine,Dentistry ,Health services management,Mental health,Nursing,Occupational therapy,Pharmacy,Psychology,Aisan studies,World historical studies,Languages and linguistics,English and creative writing,Indigenous studies,Criminology and criminal justice,Public relation and communication,Creative and interactive media,Multimedia,Social work,Journalism,Communication,Linguistics,Screen studies,Social sciences,Photography,Film and screen media,Event management,Tourism and hospitality,Aviation,Enviroment science,Marine science,Soil water and energy,Ecology and biodiversity,Society and enviroment",
Queensland University of Technology,Public ,,Australia,Queensland,Brisbane,,"Architecture and Construction,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,Environment","Architectural studies,Landscape architecture,Construction mangement,Urban development,Urban and regional planning,Business ,Accountancy,Finance,Human resource management,International business,Management,Marketing,IT,Computer and software systems,Information systems,Software technologies,Information technology,Design,Industrial design,Interior design,Fine arts,Games and interactive enviroments,Interactive and visual design,Viual arts,Creative industries,Fashion,Animation,Games design,Engineering ,Civil engineering,Quantity surveying and cost engineering,Electrical engineering,Electrical and aerospace engineering,Mechanical engineering,Process engineering,Mechatronics,Medical engineering,Sport and exercise science,Health information management,Biomedical science,Psychology,Nutrition,Public health,Clinical exercise physiology,Nursing,Podiatry,Radiation therapy,Optometry,Pharmacy,Creative and professional writing,English,Laws,Justice,Propety economics,Advertising,Economics,Journalism,Mass communication,Media and communication,Film, TV and new media production,Social work,Entertainment industries,Enviromental science",
University of Queensland ,Public ,,Australia,Queensland,Brisbane,,"Agriculture and Veterinary Medicine,Architecture and Construction,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,Environment,","Agribusiness,Animal Science,Plant science,Agronomy,Horticulture,Veterinary technology,Plant biotechnology,Animal and vetrinary bioscience,Soil and plant bioscience,Urban and regional planning,Veterinary science,Architectural design,Finance,Business,Business economics ,Business information systems,Human resources,International business,Marketing,Real estate and development,Sustainabiliy,Management,Business and industry,Commerce,Accounting,Computer Science,Software information systems,Computer system and network,Software design,User Experience design,Interaction design,Chemical engineering,Civil engineering,Electrical engineering,Mechanical engineering,Mining engineering,Software engineering,Sports studies,Sports coaching,Sports medicine,Psychology,Drug design and development,Dental science,Food science ,Public health,Midwifery,Nursing,Medicine,Clinical pharmacy,Clinical dentistry,Ancient history,Anthropology,Chinese,Classical languages,English,English literature,German,History,Indonesian,Italian,Japanese,Korean,Latin American studies,Russian,Spanish,Writing,Communication and cultulral studies,Art history,Criminology,Laws,Economics,Film and television sudies,Journalism and mass communication,Linguistics,Media, communication and cultural studies,Sociology,Advertising,Mass communication,Economics and public policy,Econometrics,Media and digital cultures,Digital media,Social science,Event management,Hospitality management,Tourism management,Public transport,Ecology,Natural resources and enviroment,Marine science,enviromental management,Mineral resources",
Bond University,Public ,,Australia,Queensland,Gold Coast,,"Architecture and Construction,Computer Science and IT,Creative Arts and Design,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,Environment,","Bachelor ,Doctor,Graduate cerfiticate,Graduate diploma,Master,Bachelor,Diploma,Doctor,Graduate cerfiticate,Master,Bachelor,Bachelor,Diploma,Doctor,Graduate certificate,Graduate diploma,Master,Bachelor,Diploma,Doctor,Graduate certificate,Graduate diploma,Master,Bachelor,Diploma,Doctor,Graduate certificate,Master,Bachelor,Diploma,Doctor,Graduate diploma,Juris,Master,Bachelor,Diploma,Doctor,Graduate certificate,Graduate diploma,Master,Bachelor,Diploma,Doctor,Bachelor,Diploma,Graduate certificate,Graduate diploma,Master",
University of the Sunshine Coast,Public ,,Australia,Queensland,Maroochydore,,"Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,Environment,","Business,Human resoursces management,International business,Management,Marketing,Supply chain management,Accounting,Finacial planning,Commerce,Business administration,Information and communication technology,Arts,Design and marketing,Design and communication,Civil engineering,Mechanical engineering,Sport and exercise science,Sport studies,Sports and fitness,Health and community care management,Health science,Nursing science,Nutrition,Occupational therapy,Psychology,Creative writing,Regional and urban planning,Criminalogy and justice,Laws,Property economics development,Communication,Journalism,Creative industries,Human services,International studies,Social sciences,Social work,Economics and development,Counselling,Tourism leisure and event management,Animal ecology,Enviromental science,Enviromental management",
CQ University,Public ,,Australia,Queensland,Rockchampton,,"Agriculture and Veterinary Medicine,Architecture and Construction,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,Environment","Bachelor,Graduate certificate,Graduate diploma,Associate degree,Bachelor,Graduate certificate,Graduate diploma,Master,Bachelor,Diploma,Graduate certificate,Graduate diploma,Master,Associate degree,Bachelor,Diploma,Graduate certificate,Graduate diploma,Master,Bachelor,Diploma,Graduate crtificate,Master,Associate degree,Bachelor,Graduate certificate,Graduate diploma,Master,Bachelor,Associate degree,Bachelor,Graduate certificate,Graduate diploma,Master,Bachelor,Graduate certificate,Bachelor,Associate degree,Bachelor,Diploma,Associate degree,Bachelor,Diploma,Graduate certificate,Graduate diploma,master,Bachelor",
University of Southern Queensland,Public ,,Australia,Queensland,Toowoomba,,"Agriculture and Veterinary Medicine,Architecture and Construction,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,Environment","Agriculture science,Wine science,Surveying,Construction,Urban and regional planning,Accounting and commerce,Business and commerce,Business administration,Business economcs,Finance,Human resource management,International business,Management ad leadership,Marketing,Sustainable business,Agribusiness,Project manager,Information technology management,Information system,Computing,Applied data science,Creative arts and media,Visual arts,Agriculture engineering,Computer systems engineering,Engineering and built environment,Power engineering,Civil engineering,Enviromental engineering,Mechanical and mechatronic engineering,Electrical and electronic engineering,Mining engineering,Structural engineering,Engineering project management,Sport and exercise,Health and community,Midwifery,Nursing,Paramedicine,Psychology,Alcohol and drug studies,Community health,Mental health,Anthropology,Australian studies,Behavioural science,Communication and public relations,Creative writing,History,Humanities and communication,Indigenous studies,International relations and Asian studies,Language and culture,Editing and publishing,English literature,English language programs,Business Law,Legal studies,Law,Child youth and family,Human services and counselling,Film television and radio,Creative arts and media,Journalism,Aviation,Tourism and events management,Enviroment and sustainability",
James Cook University,Public ,,Australia,Queensland,Townsville,,"Architecture and Construction,Business and Management,Computer Science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humantities,Law,Social Studies and Media,Travel and Hospitality,Environment","Planning,Architecture and building,Urban and regional planning,Accounting,Banking and finance,Business intelligence and informaton systems,Finacial management,Human resources management,International business,Management,Martketing,Business studies,Business,IT,Computing and networking,Interactive Technologies and Games Design,Design,Media arts,Chemical engineering ,Civil engineering,Electrical and electronic engineering,Electronic systems and internet of things engineering,Mechanical engineering,Engineering and applied science,Engineering and related technologies,Sport and exercise science,Psychology studies,Clinical,Nursing,Miwifery,Occupational therapy,Physiotherapy,Psycological science,English,History,Modern languages,Society and culture,Indigenous studies,Criminology,Human services,Media and writing,Multimedia journalism,Multimedia journalism and writng,Politics and international relations ,Sociology,Social work,Economics,Photography,Hospitality and tourism management,Sports and event management,Environmental managemetn",
Carnegie Mellon University,Public ,,Australia,South Australia,Adelaide,,,,
Flinders University ,Public ,,Australia,South Australia,Adelaide,,"Business and Management,Computer science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humanities,Law,Social Studies and Media,Travel and Hospitality,Environment,","Accounting,Finance,Business,Business economics,Commerce,Entrepreneurship,Finance,Human resource management,International business,Management,Marketing,Computer science,Simulation and serious games,Network and cybersecurity systems,Creative arts,Media arts,Design and technology innovation,Agricultue engineering,Biomedical engineering,Civil engineering,Computer systems engineering,Electrical engineering,Electronics engineering,Mechanical engineering,Naval architecture ,Robotics,Software engineering,Engineering science,Sport, health and physical activity,Digital health systems,Health sciences,Medical sciences,Nutrition and dietetics,Paramedic science,Clinical sciences,Midwifery,Nursing,Psychology,Psychological science,Languages,Justice and society,Criminology,Laws and legal practice,Digital media,International relations,Social work,International tourism,Animal behaviour,Biodiversity and conservation,Environmental science,Hydrology,Marine biology,Marine biology and aquaculture,Molecular bioscience,Forensic and analytical science,Coast and oceans,Energy and advanced materials",
University of Adelaide,Public ,,Australia,South Australia,Adelaide,,"Agriculture and Veterinary Medicine,Architecture and constuction,Business and Management,Computer science and IT,Engineering,Health and Medicine,Humanities,Law,Social Studies and Media,","Bachelor,Graduate certificate,Graduate diploma,Master,Bachelor,Master,Bachelor,Graduate certificate,Graduate diploma,Master,Professional certificate,Bachelor,Graduate certificate,Graduate diploma,Master,Bachelor,Graduate certificate,Graduate diploma,Master,Bachelor,Docotor,Graduate certificate,Graduate diploma,Master,Bachelor,Diploma,Graduate certificate,Graduate diploma,Master,Professional certificate,Bachelor,Graduate certificate,Graduate diploma,Master,Professional certificate,Bachelor,Graduate certificate,Graduate diploma,Master,Professional certificate",
University College London,Public ,,Australia,South Australia,Adelaide,engineering.ucl.ac.uk,"Computer science and IT,Engineering,","Computer science,Biochemical engineering,Chemical engineeing,Civil, environmental and geomatic engineering,Electronic and electronical engineering,Mechanical engineering,Medical, physics and biomedical engineering",
University of South Australia,Public ,,Australia,South Australia,Adelaide,unisa.edu.au,,,
Torrens University Australia,Public ,,Australia,South Australia,Adelaide,torrens.edu.au,"Business and Management,Creative Arts and Design,Personal Care and Fitness,Health and Medicine,Travel and Hospitality,","Bachelor,Graduate certificate,Graduate diploma,Master,Bachelor,Diploma,Graduate certificate,Master,Bachelor,Master,Bachelor,Diplomca,Graduate certificate,Graduate diploma,Master,Bachelor,Master",
University of Tasmania,Public ,,Australia,Tasmania,Hobart,utas.edu.au,"Agriculture and Veterinary Medicine,Architecture and Construction,Business and Management,Computer science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Law,Social Studies and Media,Travel and Hospitality,Environment,","Agriculture science,Agriculture and business,Naval architecture,Planning,Business and Management,Business administration,Marketing,Finance,International business,Management,Marketing management,Information and commuication technology,Information technology and systems,Funiture design,Enviromental design,Maritime design,Fine art and design,Engineering,Marine engineering,Marine electrical engineering,Ocean engineering,Maritime engineeirng,Exercise science,Health science,Nursing,Pharmacy,Psychological science,Psycology,Clinical pharmacy,Laws,Economics,Media,Social science,Social work,Visual communication,Journalism, media and communication,Economic geology,Hospitality management,Tourism management,Marine enviroment,Environmental governance,Enviromental science,Natural environment and wilderness studies,Environmental planning,Environmental science,Environmental management and spatial science,Environmental management and spatial science",
Federation University of Australia,Public ,,Australia,Victoria,Ballarat,federation.edu.au,"Agriculture and Veterinary Medicine,Architecture and Construction,Business and Management,Creative Arts and Design,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humanities,Law,Social Studies and Media,Travel and Hospitality,Environment,","Veterinary and wildlife science,Agriculture,Horticulture,Arcitectural technologies,Construction,Accounting and commerce,Business,Economics and finance,Human resources,Management,Marketing,MBA,MPA,Business systems,Computer games and digital media,Enterprise systems,IT,Mobile application development and security,Arts,Graphic design and communication,Civil and environmental engineering,Geomechanics and geoydrology,Maintenance and reliability engineering,Manufacturing and engineering,Mechanical engineering,Mechatronic engineering,Mining engineering,Software engineering,Exercise sciences and physiology,Sport managemen,Beauty,Hairdressing,Health sciences,Midwifery,Nursing,Paramedicine,International studies,Professional writing, editing and communications,Law,Criminal justice and criminology,Community and human services,Hospitality management,Cookery,Food processing,Environmental and conservation sciences,Conservation and land management",
Deakin University,Public ,,Australia,Victoria,Melbourne,deakin.edu.au,"Agriculture and Veterinary Medicine,Architecture and Construction,Business and Management,Computer science and IT,Engineering,Personal Care and Fitness,Health and Medicine,Humanities,Law,Social Studies and Media,Environment,","Agriculture health and medicine,Architecture,Construction management,Landscape architecture,Planning,Accounting,Business consulting,Commerce,Cloud computing and networking,Computer science,Cyber security,Data analytics,Games design and development,Information systems,Civil engineering,Electrical and electronics engineering,Electrical and renewable energy engineering,Engineering management,Frontier materials and nanotechnology,Mechanical engineering,Mechatronics engineering,Clinical exercise physiology,Exercise and sport science,Food and nutrition sciences,Health and physical education,Health sciences,Human nutrition,Physical activity and health,Food and nutrition sciences,Health promotion,Health sciences,Human nutrition,Public health nutrition,Diabetes education,Dietetics,Allied health,Disability and inclusion,Family, society and health,Health and medical science,Medical imaging,Medicine and surgery,Cardiac care nursing,Critical care nursing,Emergency care nursing,Intensive care nursing,Midwifery,Clinical psychology,Organisational psychology,Psychology,Health and human services management,Arabic,Chinese,English language,Indonesian,International languages,Spanish,Cultural heritage and museum studies,History,Australian studies,Children's literature,Communication,Commercial law,Criminology,Human rights and international law,Juris Doctor,Laws,Anthropology,Animation and motion capture,Entertainment,Film and television,Environmental management and sustainability,Environmental science,Fisheries and aquaculture,Marine and freshwater biology,Sustainable regional development,Wildlife and conservation biology,Environmental health,Biological science,Biomedical science,Biotechnology,Chemistry and pharmaceutical science,Environmental science,Fisheries and aquaculture,Forensic science",
La Trobe University,Public ,,Australia,Victoria,Melbourne,latrobe.edu.au,"Agriculture and Veterinary Medicine,Business and Management,Computer science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humanities,Law,Social Studies and Media,Travel and Hospitality,Environment,","Agricultural sciences,Animal veterinary biosciences,Accounting,Business,MBA,Finance,Human resource management,Management,Marketing,Computer science,Information systems,IT,Arts,Creative arts,Graphic desgin,Civil engineering,Engineering,Exercise science,Exercise science,Exercise physiology,Sport management,Counselling psychology,Dentistry,Oral health,Orthoptics,Physiotherapy,Prosthetics and orthotics,Health administration,Health informaion management,Health science,Human nutrition,Physiology,Pharmacy,Psychology,Nursing,Midwifery,Paramedicine,Occupational therapy,Communication,English,Asian studies,Chinese,Hindi,Indonesian,Japanese,French studies,Greek studies,Italian studies,Spanish studies,History,Latin American studies,Anthropology,Creative writing,Global business law,Law,Crime, justice and legal studies,Journalism,Linguistics,Media,Social work,Economics,International development,International relations,Sociology,Event management,Tourism and hospitality management,Enviromental management and ecology,Environmental science,Wildlife and conservation biology,Zoology,Botany",
RMIT University,Public ,,Australia,Victoria,Melbourne,rmit.edu.au,"Architecture and Construction,Business and Management,Computer science and IT,Creative Arts and Design,Engineering,Personal Care and Fitness,Health and Medicine,Humanities,Law,Social Studies and Media,Environment,","Architecture,Landscape architecture,Building and trades,Construction and project management,Environment and planning,Surveying and geospatial sciences,Accounting,Economics and finance,Entrepreneurship,International business,Management, business and administration,Marketing and advertising,Information systems,Computer science,Information and security,IT,Design innovation and technology,Fashion and textiles,Graphic and communication design,Interior design,Urban design,Civil engineering,Engineering management,Computer engineering,Software engineering,Aerospace engineering and aviation,Biomedical engineering,Chemical engineering,Electrical and electronic engineering,Telecommunications engineering,Environmental and sustainable engineering,Sports science,Complementary medicine,Dental studies,Mursing and allied health,Optical dispensing,Pharmacy,Psychology,Medical sciences,International studies,Languages, translating and interpreting,Justice,Games and interactive media,Photography,Animation,Communication and writing,Screen and media,Social work,Environmental and manufacturing systems,Conservation and land managemetn,Environmental science",
Monash University,Public ,,Australia,Victoria,Melbourne,monash.edu,,,
